PatternCode,Age_AVG,Age_STDEV,Total,Gender_Mp,Gender_Fp,Gender_M,Gender_F,NeuroICU,CardiacICU,MedICU,MedSurgICU,TransplantICU,NonICU
970,53.08,19.29,12,0.75,0.25,9,3,0,5,0,6,0,1
971,60,15.39,12,0.75,0.25,9,3,1,3,0,8,0,0
972,58.84,16.75,85,0.553,0.447,47,38,11,31,0,34,3,6
973,59.84,17.39,25,0.72,0.28,18,7,3,7,0,12,1,2
974,61.18,14.87,17,0.765,0.235,13,4,0,5,0,8,1,3
975,57.57,17.72,21,0.571,0.429,12,9,0,11,0,10,0,0
976,61.81,15.13,67,0.642,0.358,43,24,11,26,0,29,0,2
977,66.45,9.04,33,0.455,0.545,15,18,1,11,0,18,2,1
978,59.58,15.75,40,0.55,0.45,22,18,2,11,0,19,3,5
980,59.29,16.83,21,0.667,0.333,14,7,0,5,0,8,5,3
981,65.66,14.19,35,0.6,0.4,21,14,3,9,0,14,2,7
982,62.16,13.6,25,0.64,0.36,16,9,0,11,0,8,4,2
984,65.79,13.7,29,0.655,0.345,19,10,2,14,0,6,3,4
985,65.4,11.61,10,0.7,0.3,7,3,0,7,0,3,0,0
986,60.91,15.92,34,0.618,0.382,21,13,3,16,0,12,2,1
987,60.76,12.82,21,0.762,0.238,16,5,0,7,0,10,2,2
988,58.71,14.18,14,0.857,0.143,12,2,1,5,0,5,1,2
989,64.11,12.78,9,0.556,0.444,5,4,0,6,0,2,1,0
990,65.04,11.89,27,0.704,0.296,19,8,0,9,0,11,4,3
991,62.36,15.96,14,0.786,0.214,11,3,0,4,0,9,1,0
993,63.86,14.73,42,0.571,0.429,24,18,4,18,0,20,0,0
995,62.21,14.24,28,0.679,0.321,19,9,1,9,0,13,3,2
996,62.44,13.57,25,0.64,0.36,16,9,2,5,0,8,6,4
998,59.94,16.47,18,0.611,0.389,11,7,1,5,0,8,2,2
999,61.19,16.31,26,0.731,0.269,19,7,2,10,0,12,1,1
1000,62.15,14.69,46,0.587,0.413,27,19,1,21,0,25,0,0
1002,61,17.27,41,0.61,0.39,25,16,5,13,0,18,2,3
1003,57.13,15.62,31,0.742,0.258,23,8,1,8,0,13,3,6
1004,58.19,15.58,16,0.938,0.063,15,1,0,6,0,8,1,1
1005,59.48,14.95,29,0.655,0.345,19,10,1,8,0,20,0,0
1006,61.22,12.64,27,0.63,0.37,17,10,2,8,0,17,0,0
1008,66.56,15.34,18,0.611,0.389,11,7,3,6,0,4,3,2
1009,64.55,15.67,20,0.55,0.45,11,9,5,5,0,4,1,5
1010,60.3,16.29,20,0.6,0.4,12,8,2,4,0,12,1,1
1011,64.34,15.03,32,0.563,0.438,18,14,1,13,0,14,3,1
